,base asset,compare asset,label
1580,FTXN,LEGR,1
1538,FTRI,UIVM,1
1581,FTXN,LEXI,1
1583,FTXN,MDIV,1
1607,FTXN,PTNQ,1
1608,FTXN,PUI,1
1609,FTXN,PY,1
1610,FTXN,QCLR,1
1611,FTXN,QMOM,1
1612,FTXN,QQEW,1
1613,FTXN,QQMG,1
1614,FTXN,QQQE,1
1606,FTXN,PTF,1
1615,FTXN,QQQM,1
1617,FTXN,QTEC,1
1618,FTXN,QTR,1
1619,FTXN,QTUM,1
1620,FTXN,QVAL,1
1621,FTXN,QYLD,1
1622,FTXN,QYLG,1
1623,FTXN,RDVY,1
1624,FTXN,RFDI,1
1616,FTXN,QQXT,1
1605,FTXN,PSL,1
1604,FTXN,PSET,1
1603,FTXN,PSCI,1
1584,FTXN,MILN,1
1585,FTXN,NFTY,1
1586,FTXN,NXTG,1
1587,FTXN,NZAC,1
1588,FTXN,ONEQ,1
1589,FTXN,OPPJ,1
1590,FTXN,PDBC,1
1591,FTXN,PDP,1
1592,FTXN,PEY,1
1593,FTXN,PFI,1
1594,FTXN,PFM,1
1595,FTXN,PHO,1
1596,FTXN,PIZ,1
1597,FTXN,PKW,1
1598,FTXN,PNQI,1
1599,FTXN,PPH,1
1600,FTXN,PPI,1
1601,FTXN,PRN,1
1602,FTXN,PSC,1
1582,FTXN,LVHD,1
1625,FTXN,RFEM,1
1537,FTRI,UEVM,1
1535,FTRI,TDIV,1
1472,FTRI,IUSV,1
1473,FTRI,IVAL,1
1474,FTRI,IXUS,1
1475,FTRI,JSMD,1
1476,FTRI,KBWP,1
1477,FTRI,KNGZ,1
1478,FTRI,KRMA,1
1479,FTRI,LEGR,1
1471,FTRI,IUSG,1
1480,FTRI,LEXI,1
1482,FTRI,MDIV,1
1483,FTRI,MILN,1
1484,FTRI,NFTY,1
1485,FTRI,NXTG,1
1486,FTRI,NZAC,1
1487,FTRI,ONEQ,1
1488,FTRI,OPPJ,1
1489,FTRI,PDP,1
1481,FTRI,LVHD,1
1470,FTRI,IUS,1
1469,FTRI,ISHP,1
1468,FTRI,IPKW,1
1449,FTQI,SIXG,1
2899,WCBR,YLDE,1
1451,FTQI,SUSL,1
1452,FTQI,TDIV,1
1453,FTQI,UEVM,1
1454,FTQI,USVM,1
1455,FTQI,USXF,1
1456,FTQI,VONG,1
1457,FTQI,VTHR,1
1458,FTQI,XOVR,1
1459,FTRI,FTXL,1
1460,FTRI,FV,1
1461,FTRI,GFGF,1
1462,FTRI,GRID,1
1463,FTRI,HERD,1
1464,FTRI,HLAL,1
1465,FTRI,IGF,1
1466,FTRI,IMCV,1
1467,FTRI,INDY,1
1490,FTRI,PEY,1
1536,FTRI,UAE,1
1491,FTRI,PFI,1
1493,FTRI,PHO,1
1517,FTRI,QTEC,1
1518,FTRI,QTR,1
1519,FTRI,QTUM,1
1520,FTRI,QVAL,1
1521,FTRI,QYLD,1
1522,FTRI,QYLG,1
1523,FTRI,RDVY,1
1524,FTRI,RFDI,1
1516,FTRI,QQXT,1
1525,FTRI,RFEM,1
1527,FTRI,RTH,1
1528,FTRI,SDVY,1
1529,FTRI,SHRY,1
1530,FTRI,SIXG,1
1531,FTRI,SKYY,1
1532,FTRI,SOXX,1
1533,FTRI,SPBC,1
1534,FTRI,SUSL,1
1526,FTRI,RNEM,1
1515,FTRI,QQQM,1
1514,FTRI,QQQE,1
1513,FTRI,QQQ,1
1494,FTRI,PID,1
1495,FTRI,PIZ,1
1496,FTRI,PKW,1
1497,FTRI,PNQI,1
1498,FTRI,PPH,1
1499,FTRI,PPI,1
1500,FTRI,PRN,1
1501,FTRI,PSC,1
1502,FTRI,PSCI,1
1503,FTRI,PSET,1
1504,FTRI,PSL,1
1505,FTRI,PTF,1
1506,FTRI,PTNQ,1
1507,FTRI,PUI,1
1508,FTRI,PY,1
1509,FTRI,QCLR,1
1510,FTRI,QMOM,1
1511,FTRI,QQEW,1
1512,FTRI,QQMG,1
1492,FTRI,PFM,1
1824,INDY,QTEC,1
1626,FTXN,RNEM,1
1628,FTXN,SDVY,1
1757,HERD,SDVY,1
1758,HERD,SOXX,1
1759,HERD,SPBC,1
1760,HERD,SUSL,1
1761,HERD,TDIV,1
1762,HERD,USMC,1
1763,HERD,USXF,1
1764,HERD,VONE,1
1756,HERD,RNEM,1
1765,HERD,VONG,1
1767,HERD,VTHR,1
1768,HLAL,IUSV,1
1769,HLAL,JSMD,1
1770,HLAL,OPPJ,1
1771,HLAL,PNQI,1
1772,HLAL,PRN,1
1773,HLAL,PSC,1
1774,HLAL,PSCI,1
1766,HERD,VOTE,1
1755,HERD,QYLG,1
1754,HERD,QYLD,1
1753,HERD,QTR,1
1734,HERD,INDY,1
1735,HERD,IUS,1
1736,HERD,IUSV,1
1737,HERD,KRMA,1
1738,HERD,NFTY,1
1739,HERD,ONEQ,1
1740,HERD,OPPJ,1
1741,HERD,PNQI,1
1742,HERD,PPH,1
1743,HERD,PRN,1
1744,HERD,PSET,1
1745,HERD,PTNQ,1
1746,HERD,QCLR,1
1747,HERD,QQEW,1
1748,HERD,QQMG,1
1749,HERD,QQQ,1
1750,HERD,QQQE,1
1751,HERD,QQQM,1
1752,HERD,QTEC,1
1775,HLAL,PTNQ,1
1733,HERD,HLAL,1
1776,HLAL,QQEW,1
1778,HLAL,QQQE,1
1805,IMCV,RFEM,1
1806,IMCV,SHRY,1
1807,IMCV,SIXG,1
1808,IMCV,SKYY,1
1809,IMCV,SPBC,1
1810,IMCV,TDIV,1
1811,IMCV,UEVM,1
1812,IMCV,ULVM,1
1804,IMCV,QMOM,1
1813,IMCV,USVM,1
2173,NZAC,UEVM,1
1816,IMCV,XOVR,1
1817,INDY,NFTY,1
1818,INDY,PHO,1
1819,INDY,PPH,1
1820,INDY,PPI,1
1821,INDY,PSC,1
1822,INDY,QQEW,1
1814,IMCV,USXF,1
1803,IMCV,QCLR,1
1802,IMCV,PY,1
1801,IMCV,PTF,1
1779,HLAL,QTR,1
1780,HLAL,QVAL,1
1781,HLAL,QYLG,1
1782,HLAL,SDVY,1
1786,IGF,PIZ,1
1787,IMCV,IUSG,1
1788,IMCV,JSMD,1
1789,IMCV,KBWP,1
1790,IMCV,KNGZ,1
1791,IMCV,KRMA,1
1792,IMCV,LEXI,1
1793,IMCV,MDIV,1
1794,IMCV,MILN,1
1795,IMCV,NZAC,1
1796,IMCV,PDP,1
1797,IMCV,PFI,1
1798,IMCV,PNQI,1
1799,IMCV,PRN,1
1800,IMCV,PSC,1
1777,HLAL,QQMG,1
1627,FTXN,RTH,1
1722,GRID,QQXT,1
1720,GRID,OPPJ,1
1652,FTXN,VYMI,1
1653,FTXN,WCBR,1
1654,FTXN,XOVR,1
1655,FTXN,YLDE,1
1656,FV,IMCV,1
1657,FV,IUSV,1
1658,FV,KBWP,1
1659,FV,KNGZ,1
1651,FTXN,VXUS,1
1660,FV,KRMA,1
1662,FV,MILN,1
1663,FV,PDP,1
1664,FV,PHO,1
1665,FV,PNQI,1
1666,FV,PRN,1
1667,FV,PSC,1
1668,FV,PSCI,1
1669,FV,PSET,1
1661,FV,MDIV,1
1650,FTXN,VTHR,1
1649,FTXN,VSMV,1
1648,FTXN,VSDA,1
1629,FTXN,SHRY,1
1630,FTXN,SIXG,1
1631,FTXN,SKYY,1
1632,FTXN,SOXX,1
1633,FTXN,SPBC,1
1634,FTXN,SUSL,1
1635,FTXN,TDIV,1
1636,FTXN,UAE,1
1637,FTXN,UEVM,1
1638,FTXN,UIVM,1
1639,FTXN,ULVM,1
1640,FTXN,USMC,1
1641,FTXN,USVM,1
1642,FTXN,USXF,1
1643,FTXN,VIGI,1
1644,FTXN,VONE,1
1645,FTXN,VONG,1
1646,FTXN,VONV,1
1647,FTXN,VOTE,1
1670,FV,PTF,1
1721,GRID,PHO,1
1671,FV,PY,1
1673,FV,QVAL,1
1697,GFGF,PSC,1
1698,GFGF,PY,1
1699,GFGF,QCLR,1
1700,GFGF,RDVY,1
1701,GFGF,RTH,1
1702,GFGF,SHRY,1
1703,GFGF,SPBC,1
1704,GFGF,TDIV,1
1696,GFGF,PNQI,1
1705,GFGF,UEVM,1
1707,GFGF,USVM,1
1708,GFGF,VONE,1
1709,GFGF,VONV,1
1710,GFGF,VOTE,1
1711,GFGF,VSMV,1
1712,GFGF,VTHR,1
1713,GFGF,YLDE,1
1719,GRID,KBWP,1
1706,GFGF,ULVM,1
1695,GFGF,PKW,1
1694,GFGF,PFM,1
1693,GFGF,PDP,1
1674,FV,RDVY,1
1675,FV,RTH,1
1676,FV,SDVY,1
1677,FV,SHRY,1
1678,FV,SPBC,1
1679,FV,USVM,1
1680,FV,USXF,1
1681,FV,VONV,1
1682,FV,VSDA,1
1683,FV,XOVR,1
1684,GFGF,IMCV,1
1685,GFGF,IUS,1
1686,GFGF,IUSG,1
1687,GFGF,JSMD,1
1688,GFGF,KBWP,1
1689,GFGF,LEXI,1
1690,GFGF,MDIV,1
1691,GFGF,MILN,1
1692,GFGF,NZAC,1
1672,FV,QCLR,1
2174,NZAC,USMC,1
2189,ONEQ,VONE,1
2176,NZAC,VONV,1
2657,QCLR,SUSL,1
2658,QCLR,USMC,1
2659,QCLR,USVM,1
2660,QCLR,USXF,1
2661,QCLR,VONE,1
2662,QCLR,VONG,1
2663,QCLR,VONV,1
2664,QCLR,VOTE,1
2656,QCLR,SPBC,1
2665,QCLR,VSDA,1
2667,QCLR,VTHR,1
2668,QCLR,XOVR,1
2669,QCLR,YLDE,1
2670,QMOM,SIXG,1
2671,QMOM,VSDA,1
2672,QQEW,QQMG,1
2673,QQEW,QQQ,1
2674,QQEW,QQQE,1
2666,QCLR,VSMV,1
2675,QQEW,QQQM,1
2655,QCLR,SHRY,1
2653,QCLR,RDVY,1
2634,PXI,VSMV,1
2635,PXI,VTHR,1
2636,PXI,VXUS,1
2637,PXI,VYMI,1
2638,PXI,WCBR,1
2639,PXI,XOVR,1
2640,PXI,YLDE,1
2641,PY,QCLR,1
2654,QCLR,RTH,1
2642,PY,QMOM,1
2644,PY,SKYY,1
2645,PY,ULVM,1
2646,PY,USVM,1
2647,PY,VSDA,1
2648,PY,XOVR,1
2650,QCLR,QQEW,1
2651,QCLR,QQXT,1
2652,QCLR,QVAL,1
2643,PY,SIXG,1
2633,PXI,VSDA,1
2676,QQEW,QTR,1
2678,QQEW,QYLG,1
2701,QQQE,SDVY,1
2702,QQQE,SPBC,1
2703,QQQE,SUSL,1
2704,QQQE,TDIV,1
2705,QQQE,UEVM,1
2706,QQQE,USMC,1
2707,QQQE,VONG,1
2708,QQQE,VSMV,1
2700,QQQE,RNEM,1
2709,QQQM,QVAL,1
2711,QQQM,VSMV,1
2712,QQXT,QTR,1
2713,QQXT,SPBC,1
2714,QQXT,TDIV,1
2715,QQXT,USMC,1
2716,QQXT,USXF,1
2717,QQXT,VONG,1
2718,QQXT,YLDE,1
2710,QQQM,USMC,1
2677,QQEW,QVAL,1
2699,QQQE,QYLG,1
2697,QQQE,QTR,1
2679,QQEW,RNEM,1
2680,QQEW,SDVY,1
2681,QQEW,SPBC,1
2682,QQEW,SUSL,1
2683,QQEW,TDIV,1
2684,QQEW,UEVM,1
2685,QQEW,USMC,1
2686,QQEW,VONG,1
2698,QQQE,QVAL,1
2687,QQEW,VSMV,1
2689,QQMG,QVAL,1
2690,QQMG,VSMV,1
2691,QQQ,QQQE,1
2692,QQQ,QQQM,1
2693,QQQ,QVAL,1
2694,QQQ,UEVM,1
2695,QQQ,VSMV,1
2696,QQQE,QQQM,1
2688,QQMG,QQQE,1
2632,PXI,VOTE,1
2631,PXI,VONV,1
2630,PXI,VONG,1
2567,PSET,VSDA,1
2568,PSL,QQXT,1
2569,PSL,QTUM,1
2570,PSL,XOVR,1
2571,PSL,YLDE,1
2572,PTF,PY,1
2573,PTF,QCLR,1
2574,PTF,QVAL,1
2566,PSET,USVM,1
2575,PTF,QYLD,1
2577,PTF,SDVY,1
2578,PTF,SHRY,1
2579,PTF,SPBC,1
2580,PTF,SUSL,1
2581,PTF,TDIV,1
2582,PTF,ULVM,1
2583,PTF,USMC,1
2584,PTF,USVM,1
2576,PTF,RDVY,1
2585,PTF,USXF,1
2565,PSET,SDVY,1
2563,PSCI,XOVR,1
2542,PSC,USVM,1
2543,PSC,USXF,1
2544,PSC,VONE,1
2545,PSC,VONG,1
2546,PSC,VONV,1
2547,PSC,VOTE,1
2548,PSC,VSDA,1
2549,PSC,VSMV,1
2564,PSET,QVAL,1
2550,PSC,VTHR,1
2552,PSC,YLDE,1
2553,PSCE,PUI,1
2554,PSCE,UAE,1
2558,PSCI,PSET,1
2559,PSCI,QQEW,1
2560,PSCI,QQQE,1
2561,PSCI,QTR,1
2562,PSCI,QYLG,1
2551,PSC,XOVR,1
2586,PTF,VONE,1
2587,PTF,VONV,1
2588,PTF,VOTE,1
2612,PXI,RNEM,1
2613,PXI,RTH,1
2614,PXI,SDVY,1
2615,PXI,SHRY,1
2616,PXI,SIXG,1
2617,PXI,SKYY,1
2618,PXI,SOXX,1
2619,PXI,SPBC,1
2611,PXI,RFEM,1
2620,PXI,TDIV,1
2622,PXI,UEVM,1
2623,PXI,UIVM,1
2624,PXI,ULVM,1
2625,PXI,USMC,1
2626,PXI,USVM,1
2627,PXI,USXF,1
2628,PXI,VIGI,1
2629,PXI,VONE,1
2621,PXI,UAE,1
2610,PXI,RFDI,1
2609,PXI,RDVY,1
2608,PXI,QYLG,1
2589,PTF,VSDA,1
2590,PTF,VSMV,1
2591,PTF,VTHR,1
2592,PTF,YLDE,1
2593,PTNQ,QQEW,1
2594,PXI,PY,1
2595,PXI,QCLR,1
2596,PXI,QMOM,1
2597,PXI,QQEW,1
2598,PXI,QQMG,1
2599,PXI,QQQ,1
2600,PXI,QQQE,1
2601,PXI,QQQM,1
2602,PXI,QQXT,1
2603,PXI,QTEC,1
2604,PXI,QTR,1
2605,PXI,QTUM,1
2606,PXI,QVAL,1
2607,PXI,QYLD,1
2719,QTEC,QVAL,1
2720,QTEC,RNEM,1
2721,QTR,QVAL,1
2722,QTR,SDVY,1
2836,TDIV,VSMV,1
2837,TDIV,VTHR,1
2838,TDIV,XOVR,1
2839,TDIV,YLDE,1
2840,UEVM,USMC,1
2841,UEVM,USXF,1
2842,UEVM,VIGI,1
2843,UEVM,VONE,1
2835,TDIV,VOTE,1
2844,UEVM,VONG,1
2846,UEVM,VOTE,1
2847,UEVM,VSMV,1
2848,UEVM,VTHR,1
2849,UEVM,XOVR,1
2850,UEVM,YLDE,1
2851,UIVM,VYMI,1
2852,ULVM,VONV,1
2853,ULVM,XOVR,1
2845,UEVM,VONV,1
2854,USMC,VONE,1
2834,TDIV,VONV,1
2832,TDIV,VONE,1
2814,SPBC,USXF,1
2815,SPBC,VONE,1
2816,SPBC,VONG,1
2817,SPBC,VONV,1
2818,SPBC,VOTE,1
2819,SPBC,VSMV,1
2820,SPBC,VTHR,1
2821,SPBC,XOVR,1
2833,TDIV,VONG,1
2822,SPBC,YLDE,1
2824,SUSL,UEVM,1
2825,SUSL,USVM,1
2826,SUSL,USXF,1
2827,SUSL,VSMV,1
2828,TDIV,UEVM,1
2829,TDIV,USMC,1
2830,TDIV,USVM,1
2831,TDIV,USXF,1
2823,SUSL,TDIV,1
2855,USMC,VONG,1
2856,USMC,VOTE,1
2857,USMC,VSMV,1
2881,VONE,XOVR,1
2882,VONG,VOTE,1
2883,VONG,VSMV,1
2884,VONG,VTHR,1
2885,VONG,XOVR,1
2886,VONG,YLDE,1
2887,VONV,VOTE,1
