Date,Open,Close,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-04-05,261.5684012213713,262.1589050292969,0.004839837703547456,-0.06427090373739475,257.4734573364258,255.98746018182663,0,1.0,1,1.0,0.004828163341906378,0.09771123063517671,0.10264432922799238,0.0006249292596812642,0.05562644572164277,0.057202687377953865
2019-04-08,261.73191405535823,262.3587646484375,0.0007623605962128188,0.39906065805212165,257.7808252970378,256.6594565255301,0,1.0,1,1.0,0.0007620701469821479,0.09847330078215887,0.10348494181623336,-0.0013197154902126838,0.05430673023143009,0.055808400848255335
2019-04-09,261.38673021642506,261.0142517089844,-0.005124711351857325,0.25367366043627726,258.3910166422526,257.0960046677362,0,1.0,1,1.0,-0.00513788772108074,0.09333541306107812,0.09782990000830405,0.00017338563548719178,0.05448011586691728,0.05599147872986787
2019-04-10,261.4320548499582,261.90447998046875,0.003410650053227382,-0.01883067084696677,259.09129587809247,257.5297197614397,0,1.0,1,1.0,0.0034048469774316647,0.09674026003850979,0.10157421361520202,0.0036773069602746046,0.058157422827191885,0.05988183217251919
2019-04-11,262.3951905523677,261.8319396972656,-0.00027697228855549927,0.1446889793982109,259.62806065877277,257.8802962530227,0,1.0,1,1.0,-0.00027701065246380294,0.09646324938604599,0.10126910808424316,0.004042132054068772,0.06219955488126066,0.06417468479344524
2019-04-12,263.4579730695208,263.60333251953125,0.006765380970380264,1.0077236870891397,260.42372767130536,258.3229791550409,0,1.0,1,1.0,0.006742598477648418,0.10320584786369441,0.10871961315134393,0.0008274617029345886,0.06302701658419525,0.0650556130072606
2019-04-15,263.6760646713489,263.4307861328125,-0.000654568305603509,0.15378226062279055,261.12477111816406,258.6976209368025,0,1.0,1,1.0,-0.0006547826289681505,0.10255106523472626,0.10799388043277425,0.0024430883749934924,0.06547010495918874,0.0676608190726431
2019-04-16,264.32103614005786,263.60333251953125,0.0006549970459099885,0.37180728333356683,261.70619201660156,259.0363500685919,0,1.0,1,1.0,0.0006547826289681134,0.10320584786369438,0.10871961315134393,0.0015457118018743785,0.06701581676106312,0.06931239109943776
2019-04-17,264.72991620906845,262.9584045410156,-0.002446585072925167,1.2166837865235607,261.9802500406901,259.3413412911551,0,1.0,1,1.0,-0.002449582852731776,0.1007562650109626,0.10600703629574859,-0.004471346809762145,0.06254446995130097,0.06454179798718296
2019-04-18,263.5488593678807,263.4761657714844,0.0019689852901734195,0.5080732936604022,262.28685506184894,259.70775931222096,0,1.0,1,1.0,0.001967049379406982,0.10272331439036958,0.10818474788104315,-0.0032107109442183154,0.05933375900708266,0.061129343120388535
2019-04-22,262.7040371265291,263.7033386230469,0.000862214048459764,0.24460777887236418,262.57832590738934,259.9474254789807,0,1.0,1,1.0,0.000861842555449409,0.10358515694581899,0.10914024033895497,0.0052079065684362165,0.06454166557551888,0.06667002073908423
2019-04-23,264.07574396725005,266.07440185546875,0.008991403919277774,1.471055332487822,263.0098419189453,260.5370657784598,0,1.0,1,1.0,0.00895122192911394,0.11253637887493292,0.11911296824296747,0.007232749140669073,0.07177441471618795,0.07441294497488449
2019-04-24,265.9926615127851,265.4839172363281,-0.002219246252262108,-0.00976461459327993,263.28692626953125,261.107674734933,0,1.0,1,1.0,-0.0022217124286035136,0.11031466644632941,0.11662938098233622,-0.0022909862321641252,0.06948342848402382,0.07195429714982171
2019-04-25,265.3839735015602,265.32037353515625,-0.0006160211242712821,0.862364491377889,263.5337270100911,261.58051336379276,0,1.0,1,1.0,-0.0006162109432430571,0.10969845550308635,0.11594151369566918,-6.81124067850814e-05,0.06941531607723873,0.07188128624918155
2019-04-26,265.3658981759868,266.5559997558594,0.004657110210721793,1.0440714084900833,263.99553934733075,262.175783429827,0,1.0,1,1.0,0.004646299424651905,0.11434475492773825,0.12113857631366964,0.004815346159684613,0.07423066223692334,0.07705521281070205
2019-04-29,266.64680837258044,266.9738464355469,0.0015675755941348957,-0.0551771661720295,264.4179865519206,262.74509684244794,0,1.0,1,1.0,0.0015663482300031888,0.11591110315774145,0.12289604578354218,-6.822789085032014e-05,0.07416243434607303,0.07698173011201592
